216,2408,62,78,11,398,0,0,0,0,0
164,4917,14,87,5,500,0,0,0,0,0
200,1451,46,53,5,352,0,0,0,0,0
314,4223,36,69,4,707,0,0,0,0,0
206,3104,38,50,10,482,0,0,0,0,0
227,6454,6,141,3,542,0,0,0,0,0
203,5497,12,107,5,650,0,0,0,0,0
277,5303,10,149,3,554,0,0,0,0,0
165,4944,8,133,4,557,0,0,0,0,0
159,2914,8,148,3,338,0,0,0,0,0
218,4943,27,66,7,478,0,0,0,0,0
258,9019,13,187,2,531,0,0,0,0,0
286,6320,22,133,2,562,0,0,0,0,0
290,2548,65,39,7,576,0,0,0,0,0
135,3826,8,82,7,434,0,0,0,0,0
236,7809,42,139,7,436,0,0,0,0,0
168,5791,14,56,5,562,0,0,0,0,0
155,3095,21,48,7,546,0,0,0,0,0
228,6138,46,54,4,501,0,0,0,0,0
221,4105,15,117,4,456,0,0,0,0,0
135,1540,9,66,9,306,0,0,0,0,0
139,1623,2,138,6,311,0,0,0,0,0
160,4041,20,65,10,447,0,0,0,0,0
253,6468,13,94,3,590,0,0,0,0,0
171,3977,17,103,5,460,0,0,0,0,0
215,3954,17,82,4,500,0,0,0,0,0
127,4250,5,115,6,375,0,0,0,0,0
138,4949,4,131,4,439,0,0,0,0,0
151,8255,5,146,4,412,0,0,0,0,0
204,3553,21,69,3,441,0,0,0,0,0
55,1034,5,49,6,205,0,0,0,0,0
61,657,10,30,7,204,0,0,0,0,0
111,3154,13,34,7,406,0,0,0,0,0
99,1065,20,22,5,234,0,0,0,0,0
118,720,38,17,5,234,0,0,0,0,0
198,3412,10,174,2,415,0,0,0,0,0
92,2692,10,51,7,364,0,0,0,0,0
68,926,13,35,6,268,0,0,0,0,0
56,430,9,29,4,166,0,0,0,0,0
93,2578,4,83,5,350,0,0,0,0,0
121,3780,6,77,4,434,0,0,0,0,0
108,1158,15,77,8,276,0,0,0,0,0
75,1499,11,54,3,207,0,0,0,0,0
68,2616,2,67,4,240,0,0,0,0,0
97,3175,5,87,9,484,0,0,0,0,0
180,3680,24,40,5,570,0,0,0,0,0
241,6096,26,117,3,504,0,0,0,0,0
205,2854,16,52,6,553,0,0,0,0,0
208,1797,24,79,4,412,0,0,0,0,0
235,2470,58,37,5,548,0,0,0,0,0
279,1680,57,80,6,492,0,0,0,0,0
186,3771,26,73,9,458,0,0,0,0,0
142,2520,7,82,6,379,0,0,0,0,0
43,1250,3,40,5,148,0,0,0,0,0
100,2692,13,37,8,496,0,0,0,0,0
182,4479,10,56,3,408,0,0,0,0,0
160,2002,21,39,5,327,0,0,0,0,0
162,2793,25,97,10,644,0,0,0,0,0
166,2894,13,107,4,402,0,0,0,0,0
266,7710,25,119,2,562,0,0,0,0,0
232,5115,30,54,3,436,0,0,0,0,0
189,3790,10,111,2,428,0,0,0,0,0
188,2301,20,53,5,440,0,0,0,0,0
194,4061,9,111,4,434,0,0,0,0,0
162,3156,21,61,7,544,0,0,0,0,0
175,2870,13,128,2,342,0,0,0,0,0
292,9566,6,154,2,629,0,0,0,0,0
199,4512,5,194,2,406,0,0,0,0,0
238,2807,33,47,3,473,0,0,0,0,0
263,4893,19,123,3,522,0,0,0,0,0
291,7310,31,89,3,588,0,0,0,0,0
212,7208,14,119,4,491,0,0,0,0,0
196,6826,7,136,3,469,0,0,0,0,0
102,4684,4,52,4,314,0,0,0,0,0
314,8357,17,266,3,648,0,0,0,0,0
227,3914,39,77,83,500,0,0,0,0,0
74,856,9,55,14,170,0,0,0,0,0
101,1146,12,53,7,264,0,0,0,0,0
65,526,11,47,3,130,0,0,0,0,0
168,6268,3,159,2,352,0,0,0,0,0
107,3005,3,102,2,230,0,0,0,0,0
34,452,9,12,15,84,0,0,0,0,0
133,3028,17,94,3,358,0,0,0,0,0
164,2841,7,132,2,336,0,0,0,0,0
105,21437,6,60,5,240,0,0,0,0,0
306,6972,20,186,4,772,0,0,0,0,0
212,2038,67,52,6,368,0,0,0,0,0
76,1386,4,67,3,156,0,0,0,0,0
77,1018,12,39,3,134,0,0,0,0,0
62,1474,3,55,2,158,0,0,0,0,0
121,2616,12,41,2,268,0,0,0,0,0
151,3895,15,95,3,336,0,0,0,0,0
92,694,12,43,3,210,0,0,0,0,0
310,2034,82,50,4,558,0,0,0,0,0
106,1285,11,74,15,282,0,0,0,0,0
84,3173,11,37,3,156,0,0,0,0,0
359,7977,25,125,2,690,0,0,0,0,0
70,784,6,58,5,230,0,0,0,0,0
68,946,6,58,7,144,0,0,0,0,0
63,831,10,30,2,124,0,0,0,0,0
