56,42,38,1
137,54,84,1
3,3,4,1
NEXTSONG254,266,227,1
2473,2866,1859,1
16,28,18,1
148,132,160,1
3,3,4,1
NEXTSONG259,294,280,1
1707,2013,1694,1
32,34,38,1
189,135,112,1
5,4,2,1
NEXTSONG242,279,259,1
1467,1251,1341,1
32,52,30,1
171,56,122,1
2,5,0,1
NEXTSONG292,325,351,1
2070,3942,4189,1
35,18,23,1
174,242,325,1
2,2,2,1
NEXTSONG132,155,131,1
581,852,513,1
12,20,25,1
76,102,72,1
4,2,2,1
NEXTSONG278,274,295,1
2471,3400,2440,1
14,9,18,1
155,252,238,1
0,2,2,1
NEXTSONG159,205,185,1
896,1303,984,1
15,28,39,1
137,161,56,1
3,0,0,1
NEXTSONG365,376,381,1
2971,5014,4101,1
34,29,25,1
184,135,248,1
4,2,2,1
NEXTSONG230,233,237,1
1416,2096,1705,1
32,21,24,1
109,124,195,1
3,2,3,1
NEXTSONG232,259,263,1
1509,1687,1850,1
26,34,44,1
104,57,117,1
4,4,0,1
NEXTSONG308,321,342,1
3149,2794,3732,1
27,33,33,1
260,206,188,1
3,2,2,1
NEXTSONG324,325,301,1
1510,2401,1603,1
83,48,61,1
52,119,93,1
0,2,4,1
NEXTSONG256,252,268,1
1421,1331,1657,1
38,47,29,1
129,91,126,1
5,4,3,1
NEXTSONG302,310,346,1
1419,1476,2181,1
59,71,46,1
52,71,138,1
4,2,3,1
NEXTSONG303,267,252,1
3015,2188,2068,1
35,31,26,1
140,203,98,1
3,3,2,1
NEXTSONG187,175,156,1
1144,992,745,1
24,25,20,1
80,78,54,1
3,0,3,1
NEXTSONG147,202,133,1
524,924,432,1
54,49,48,1
18,95,31,1
0,3,0,1
NEXTSONG269,371,307,1
1314,1897,1716,1
48,85,71,1
74,79,70,1
3,4,3,1
NEXTSONG233,224,247,1
1138,1253,1527,1
49,37,46,1
65,105,154,1
2,4,3,1
NEXTSONG335,386,418,1
2515,3492,3269,1
40,36,48,1
240,194,167,1
2,2,4,1
NEXTSONG222,230,221,1
854,1192,1412,1
61,50,36,1
65,109,148,1
0,2,2,1
NEXTSONG258,358,334,1
1559,3242,4949,1
44,34,35,1
91,132,142,1
4,3,2,1
NEXTSONG266,289,306,1
3393,3966,3170,1
19,19,23,1
224,268,241,1
1,2,2,1
NEXTSONG331,363,357,1
2952,4069,2986,1
33,33,39,1
205,140,139,1
2,2,2,1
NEXTSONG263,268,283,1
1579,1887,2011,1
29,39,29,1
70,139,201,1
3,3,3,1
NEXTSONG428,0,0,1
7771,0,0,1
31,0,0,1
384,0,0,1
2,0,0,1
NEXTSONG309,338,343,1
2263,3058,3118,1
50,52,37,1
198,173,138,1
3,2,2,1
NEXTSONG268,313,299,1
1459,2089,2250,1
35,52,19,1
175,87,267,1
3,2,4,1
NEXTSONG384,361,321,1
2731,3233,2307,1
35,32,28,1
322,127,95,1
2,3,3,1
NEXTSONG241,271,302,1
1464,1456,1588,1
37,46,70,1
132,78,86,1
2,0,4,1
NEXTSONG296,350,335,1
1993,2677,2236,1
36,61,49,1
121,135,201,1
2,2,4,1
NEXTSONG259,258,257,1
1445,1920,1820,1
46,23,28,1
142,144,85,1
2,2,3,1
NEXTSONG341,331,318,1
2616,2945,2956,1
39,48,28,1
145,180,185,1
2,4,2,1
NEXTSONG263,335,288,1
970,2612,2029,1
79,41,37,1
46,90,127,1
0,3,3,1
NEXTSONG172,180,179,1
923,736,807,1
25,47,36,1
71,42,77,1
1,4,0,1
NEXTSONG126,138,132,1
355,550,376,1
45,32,46,1
25,48,13,1
2,5,3,1
NEXTSONG231,267,243,1
1235,1464,1437,1
48,53,37,1
94,85,140,1
2,6,0,1
NEXTSONG163,177,184,1
721,1003,986,1
38,19,29,1
79,103,54,1
4,0,3,1
NEXTSONG256,446,408,1
1235,4025,4327,1
37,42,23,1
163,135,380,1
0,3,2,1
NEXTSONG253,281,306,1
1813,2908,2571,1
17,20,30,1
103,115,161,1
2,2,3,1
NEXTSONG174,199,208,1
813,947,818,1
22,35,61,1
76,56,111,1
2,3,2,1
NEXTSONG260,240,252,1
1852,1509,1417,1
27,38,35,1
147,160,159,1
2,0,3,1
NEXTSONG278,295,328,1
2744,2673,2866,1
18,40,31,1
233,76,150,1
2,2,2,1
NEXTSONG292,273,342,1
2058,2031,2886,1
18,34,33,1
118,121,187,1
5,4,3,1
NEXTSONG305,307,304,1
1730,1816,1743,1
70,57,53,1
118,120,134,1
0,2,4,1
NEXTSONG318,345,366,1
3781,3749,4783,1
24,26,28,1
152,260,205,1
2,2,3,1
NEXTSONG335,341,350,1
2894,4191,3920,1
22,24,23,1
297,118,191,1
3,2,3,1
NEXTSONG158,166,202,1
624,747,1031,1
43,29,29,1
25,64,155,1
2,3,4,1
NEXTSONG278,281,292,1
1849,2066,2933,1
24,27,35,1
221,139,207,1
2,2,3,1
NEXTSONG338,386,332,1
1108,1892,1660,1
123,101,80,1
66,72,57,1
9,0,2,1
NEXTSONG198,278,229,1
1320,1658,1044,1
18,41,54,1
136,101,126,1
3,2,0,1
NEXTSONG301,349,341,1
2481,2581,2666,1
32,43,40,1
175,168,275,1
2,3,2,1
NEXTSONG234,270,231,1
1867,2088,1171,1
11,25,31,1
207,137,101,1
2,3,3,1
NEXTSONG256,214,205,1
2001,1138,1192,1
33,22,41,1
168,98,126,1
2,2,0,1
NEXTSONG293,331,329,1
2859,3759,3536,1
8,15,23,1
275,301,238,1
2,3,4,1
NEXTSONG259,298,283,1
1647,2230,1823,1
40,35,40,1
189,114,74,1
0,2,4,1
NEXTSONG365,411,423,1
1791,3326,4266,1
65,37,35,1
69,241,244,1
5,3,3,1
NEXTSONG326,288,393,1
1473,1493,4796,1
72,44,24,1
101,62,318,1
3,2,2,1
NEXTSONG223,299,310,1
1191,1452,1697,1
26,69,59,1
77,69,79,1
4,3,2,1
